"tsmc"
"影像与传播 : 1990年代以来中国电视剧文化研究"
"中国电视剧类型批评"
"中国电视剧艺术发展史"
"中国电视剧 : 文化研究与类型研究"
"艺术传播教程"
"艺术社会学 = = Sociology of the arts: exploring fine and popular forms"
"消费社会学新论"
"消费社会学"
"媒体融合与创新 = = Media convergence and innovation"
"全媒体时代的手机媒介研究 = = A study on cell phone media in omnimedia era"
"数字媒介下的文艺转型 = literature and art transformation under the digital medium"
"传播社会学"
"西方美学史纲"
"西方美学与艺术"
"西方美学简史 = Aesthetics from classical Greece to the present a short history"
"美学十五讲"
"艺术与此在 : 论艺丛札"
"艺术自律性研究"
"中国社会史研究导论 : 珍藏本"
"中国电视剧理论批评发展流变 = = The evolution and development in the theories and criticism on Chinese TV dramas"
"中美影视艺术关键词"
"美国电影概览 = = American cinema : an introduction"
"男性妥协 : 中国的城乡迁移、家庭和性别 = = Masculine compromise : migration, family, and gender in China"
"香港电影艺术史"
"中国电影文化史 = History of Chinese Film Culture : 1905~2004"
"电影学原理 = = Film theory : 中英文双语"
"西方美学经典文本导读"
"人文六讲"
"人文科学的逻辑 : 五项研究 = = Zur logik der kulturwissenschaften funf studien"
"社会科学方法论"
"故事策略 = = The story solution : 电影剧本必备的23个故事段落"
"编剧:步步为营 :  = = Screenwriting:step by step"
"汪曾祺的写作课"
"类型电影原理 = = The principle of genre film"
"农村数字电影的类型化制作 = = The production of Chinese rural theme films"
"电影现象学引论"
"电影作为社会实践 = = Film as social practice"
"影像中国与中国影像 : 百年中国电影艺术发展史 = = Screening China : a one-hundred years' history of Chinese movie art"
"新参者"
"解忧杂货店"
"美学是什么"
"林中路 = = Holzwege"
"电影编剧的秘密 = = The secret of screenwriting"
"编剧的艺术 = = The art of dramatic writing"
"China's cinema of class : audiences and narratives /"
"全球热播综艺节目解析"
"电视节目制作"
"尹鸿自选集 : 媒介图景·中国影像"
"电影观众学"
"电影剧本写作基础 = = Screenplay: the foundations of screenwriting"
"电影艺术 : 形式与风格 = = Film art : an introduction"
"电影艺术 : 形式与风格 = = Film art an introduction"
"中国电影批评史 = = History of Chinese film criticism : 1897-2000"
"西方电影理论史纲"
"考古与艺术史的交汇 : 中国美术学院国际学术研讨会论文集"
"影像江南 : 中国电影空间美学研究"
"你一定爱读的极简西方艺术史"
"艺术史论的存在形式与新视阈"
"视觉认知与艺术史 : 福柯 达弥施 克拉里"
"如何撰写艺术史"
"艺术史方法与理论"
"电影色彩学 = = Film chromatology"
"文艺常识"
"你了解这门艺术吗?电影剧"
"德国文化史"
"德国文化简史 = = Deutsche Kulturgeschichte im Grundriss"
"世界电影史"
"德国电影经典"
"魏玛共和国时期的德国 : 1919-1933"
"城市贫困的社会空间研究"
"三农问题与世纪反思"
"电影叙事的空间转向"
"美国电影研究"
"融媒时代加强影视精品创作研究"
"电视剧叙事话语 = = Narrative discourse research of teleplay"
"流沙河诗存"
"电影的本性物质现实的复原"
"内蒙古通史纲要"
"内蒙古革命史"
"内蒙古行知书"
"别说你懂内蒙古"
"国外影视理论应用教程"
"上海南京路电影文化消费史 : 1896-1937 = = The cultural consumption history of film on Shanghai nanking road"
"中国电影专业史研究"
"电影的“城市性” = = The film's ""urbanity"""
"青少年微电影创作简明教程"
"媒介二十五讲"
"媒介素养概论 = = Introduction to media literacy"
"媒介素养教育课程论 = = On media literacy education"
"中国媒介教育"
"国际媒体素养教育的课程发展 = = Curriculum development on media liferacy education: international perspectives"
"中学教育学"
"中国科教电影发展史 = A history of China's scientific and educational movie"
"中国科教电影史"
"生育制度"
"中国人口政策60年"
"媒介文化传播"
"视听媒体传播新论 = = A new view on audio-visual media communication"
"新媒体与青年文化"
"大学的学术自由及其限度"
"张爱玲电影剧本研究"
"包公戏研究"
"包公文学及其传播"
"元杂剧包公戏评注"
"现代期刊编辑学 = = Contemporary practice in periodical editing"
"学位论文写作与学术规范"
"媒介生态学 : 媒介作为绿色生态的研究"
"网络原创视频艺术研究 = = Research on original network video art"
"影视接受心理"
"艺术与传播"
"传播研究导论 : 过程与符号"
"媒介热点透析与前瞻 . 2020"
"西方电影史概论"
"银海游"
"西方电影史论"
"电影新思维"
"传媒社会学"
"文化表征与文化研究 = = Cultural representation and cultural studies"
"数字媒介与艺术论析 : 后媒介文化语境中的艺术理论问题"
"中国传媒大学年鉴 . 2018"
"审美文化导论"
"电视剧本体美学研究 : 连续性视角"
"新媒体与西方数码艺术理论"
"消费时代审美问题研究"
"审美文化学导论 = = Introducing aesthetic culturology"
"艺术节奏论"
"斜面 : 未来艺术势能七种"
"网络美学研究"
"中国青年发展 : 1978～2018 = = Youth development in China : 1978-2018"
"中国电影中青少年形象的文化谱系研究"
"社会变迁中的青年问题 = = The youth issues in social change"
"当代中国青年文化研究"
"电影诗学"
"中观视域下的形式本体与认知建构 : 大卫·波德维尔电影诗学研究"
"电视专题片创作"
"影视理论文献导读"
"纪录片创作教程"
"艺术哲学"
"艺术哲学 , 希腊的雕塑 : 全彩配图版"
"《艺术哲学》导读"
"世界电影美学名著导读 = = Introduction to world film aesthetics"
"电影和历史 = = Cinema et histoire"
"中国电影理论史评"
"中国无声电影史"
"电影理论读本"
"中国影片大典故事片.戏曲片:1977-1994"
"中国当代社会史 . 第四卷 : 1978-1992"
"中国建筑史"
"大数据时代 : 生活、工作与思维的大变革 = = Big data : a revolution that will transform how we live, work and think"
"中国当代电影发展史 . 上"
"传媒·文化·社会"
"媒体融合的探索与实践 : 2014-2018 = = The exploration and practice of media convergence : 2014-2018"
"中国电影美学 : 1999 = Aesthetics of Chinese film, 1999"
"中国类型电影叙事策略及价值观研究"
"媒介社会学 = = Media sociology"
"文化理论与大众文化导论 = = Cultural theory and popular culture an introduction"
"女性主义伦理思想的当代中国电影叙事 = = Contemporary Chinese film narration based on feminist ethics"
"电影美学与心理学 = = Esthetique et psychologie du cinema"
"身体·空间·时间 : 德勒兹艺术理论研究 = = Body, space & time"
"当代电影理论文选"
"信息简史 = = The information: a history, a theory , a flood"
"达利画传"
"银幕艳史 : 都市文化与上海电影 : 1896-1937"
"这就是社会学"
"媒介融合背景下新闻扶贫的经验探索与实践模式研究"
"知媒者生存 : 媒介环境学纵论"
"上海区级融媒体中心建设发展调研报告 : 2019-2020年"
"银杏融媒 : 县级融媒体中心建设的邳州实践 = = PZMCC : Pizhou's practice in building up the county-level converged media center"
"新闻理论十讲"
"西方哲学史 = = A history of western philosophy"
"文化与权力 = Culture and power : 布尔迪厄的社会学the sociology of Pierre Bourdieu"
"电影与新心理学 = = Le cinema et la nouvelle psychologie"
"梅洛－庞蒂 = = On Merleau－Ponty"
"美的历程"
"清华新闻书目导读 = = Recommended books of journalism by Tsinghua University : 100种"
"中国电影史学述要 : 1978-2019"
"影像与时间 : 德勒兹的影像理论与柏格森、尼采的时间哲学 = = Image and time : Deleuze's image theory and the time philosophy of Bergson and Nietzsche"
"中国现代电影理论史"
"影视类型学"
"西方哲学史"
"西方哲学导论 = = Does the center hold? an introduction to western philosophy"
"黄河青山 : 黄仁宇回忆录"
"从外来杂耍到本土影业 : 中国电影发生史研究 (1897-1921) = = From foreign vaudeville to native industry : a study on the happening of Chinese cinema (1897-1921)"
"西方哲学十五讲"
"编辑学理论研究"
"当代电视社会学"
"编辑选择论"
"图书编校质量例证分析"
"东亚三国志"
"丑陋的韩国人"
"当代韩国民族主义研究 = = The study on contemporary nationalism in south Korea"
"近代朝鲜与日本"
"东亚三国的近现代史"
"新编韩国史"
"实用修辞 = = Practical rhetoric"
"亚太大国与朝鲜半岛 = Asian-Pacific Major Powers and Korean Peninsula"
"返归未来 : 银幕上的历史与社会"
"日军“慰安妇”研究"
"中国农村题材电视剧史论"
"从主体建构到自我解构 : 中国新时期以来电影中农民形象演变的符号学考察"
"影视文本与社会工作"
"中国当代社会史 . 第五卷 : 1992-2008"
"二十世纪九十年代小说的婚恋书写 : 性别视角下的考察"
"21世纪以来都市爱情电影的文化阐释与产业分析 : 以“华莱坞”作为研究视角"
"胶片密语 : 华语电影中的同性恋话语"
"中国农村现代化研究"
"土地的黄昏 : 乡村经验的微观权利分析"
"台湾电影 : 政治、经济、美学(1949-1994)"
"山西省地图册"
"改革与中国电影"
"中国戏曲电影史"
"华语电影与中国戏曲"
"赵树理小说中的乡村变革"
"赵树理小说的民间化叙事"
"山药蛋派作家电影剧作精选集 . 一"
"山药蛋派作家电影剧作精选集 . 二"
"动画剧本创作基础"
"动漫剧本创作"
"影视剧作艺术教程 = = Script writting"
"影视动画编导学 = = Animation Screenplay Studies"
"动画电影创作理念研究"
"动漫编剧完全学习手册 = = The animation scriptwriter"
"影视动画编剧基础"
"动画剧本创作 = = Animation script writing"
"近代华北区域社会史研究"
"华夏之根 = Roots of China : 山西历史文化的三大特色the three main distinguishing features of Shangxi's history and cultu"
"文化传统与社会治理 : 基于儒家文化与近代山西社会的历史考察"
"法眼看山西 : 这方水土这方人的超时空审视与大文化解读"
"浙江电影史"
"山西新闻传播史"
"走向民间与回归传统"
"关公故里"
"“十三五”时期山西民生社会发展战略研究"
"欠发达地区新生代农民工就业问题研究 : 基于山西省的实证调查"
"转型背景下的山西养老研究"
"魅力山西 中部崛起"
"基于生态视角的企业可持续发展系统分析与评价研究 : 以山西民营企业为例"
"文学地理学概论"
"光幻中的论语 : 十七年电影的导演逻辑"
"红楼梦 . 上"
"红楼梦 . 中"
"红楼梦 . 下"
"少有人走的路 , 心智成熟的旅程"
